Account,Annual Revenue,MAU,Vertical,MGR,commited mrr delta,total net mrr (ae),Tier
일신비츠온,"495,500,000,000","46,386",B2B & 솔루션 | B2B & Solutions,"3,000,000",,,Tier 3
필코상사,"13,100,000,000",-,제조 & 유통 | Manufacturing & Distribution,"700,000",,,
똑똑플란트치과,"30,500,000,000","22,874",헬스케어 | Healthcare,"1,000,000",,,Tier 4
퍼시픽링스,"46,700,000,000","33,426",여행 & 숙박 | Travel & Hospitality,"2,000,000","1,800,000","1,800,000",Tier 4
뉴라이즌,"5,000,000,000","4,311",커머스 | Commerce,"800,000",,,Tier 5
홀릭홀릭,"6,000,000,000","67,623",커머스 | Commerce,"500,000","422,250","422,250",Tier 4
스위트바이오,"24,500,000,000","15,684",커머스 | Commerce,"500,000",,"380,250",Tier 4
아트시스,"5,000,000,000","5,244",커머스 | Commerce,"1,000,000","1,281,750","1,281,750",Tier 5
아트뮤코리아,"8,500,000,000","49,777",커머스 | Commerce,"600,000","803,250","803,250",Tier 4
핀다오토,"7,000,000,000",-,렌탈 & 모빌리티 | Rental & Mobility,"1,500,000",,,
에이비엠코리아,"5,000,000,000","9,692",커머스 | Commerce,"600,000",,,Tier 5
이디티씨,"2,500,000,000","3,434",B2B & 솔루션 | B2B & Solutions,"1,000,000","1,517,250","1,517,250",Tier 5
법무법인 로고스,"23,712,340,000","15,242",전문 산업군 | Professional Services,"700,000","297,000","297,000",Tier 4
휴맥스이브이,"23,928,650,000","13,103",렌탈 & 모빌리티 | Rental & Mobility,"2,000,000","1,215,750","1,215,750",Tier 4
주식회사 짐캐리 (KTX특송 서비스),"10,000,000,000","50,003",B2B & 솔루션 | B2B & Solutions,"1,500,000","72,000","72,000",Tier 4
머니투데이,"195,793,000,000","9,988,000",기타 | Others,"1,000,000","852,700","852,700",Tier 1
브이디로보틱스,"12,818,672,000","7,572",B2B & 솔루션 | B2B & Solutions,"300,000","473,250","473,250",Tier 5
한국철도공사,"6,528,100,000,000","13,890,000",기타 | Others,"2,000,000","2,000,000","2,000,000",Tier 1
파마브로스,"15,000,000,000","6,902",헬스케어 | Healthcare,"600,000","638,750","638,750",Tier 5
업스테어스,"16,900,000,000","3,703",B2B & 솔루션 | B2B & Solutions,"700,000","452,750","452,750",Tier 5
올마이투어,"26,300,000,000","78,069",여행 & 숙박 | Travel & Hospitality,"1,500,000","1,859,750","1,859,750",Tier 4
성심당,"193,800,000,000","127,015",커머스 | Commerce,"1,200,000","465,750","465,750",Tier 3
주식회사 메가랜드,"8,400,000,000","74,242",교육 | Education,"1,000,000",,,Tier 4
코튼클럽,"45,100,000,000","20,482",커머스 | Commerce,"1,000,000","81,000","81,000",Tier 4
신세계아이앤씨,"613,700,000,000","60,861",제조 & 유통 | Manufacturing & Distribution,"1,500,000",,,Tier 3
엠서클,"34,900,000,000","546,711",헬스케어 | Healthcare,"500,000","140,700","140,700",Tier 2
국제사이버대학교,"4,300,000,000","66,257",교육 | Education,"700,000",,,Tier 4
크리드네트웍스,"14,000,000,000","982,566",커머스 | Commerce,"500,000","482,137","482,137",Tier 2
아이오로라,"6,161,270,000","24,110",전문 산업군 | Professional Services,"1,000,000","1,341,000","1,341,000",Tier 4
나셀프,"8,300,000,000",383,B2B & 솔루션 | B2B & Solutions,"500,000","31,012","31,012",Tier 5
삼양사,"1,730,000,000,000","43,313",제조 & 유통 | Manufacturing & Distribution,"1,000,000",,"757,387",Tier 3
이너스커뮤니티,"6,500,000,000","5,218",기타 | Others,"600,000",,,Tier 5
크리비즈,"4,003,950,000","5,568",커머스 | Commerce,"500,000","511,500","511,500",Tier 5
소노바컨슈머히어링코리아,"11,700,000,000","110,455",커머스 | Commerce,"1,000,000","770,137","770,137",Tier 4
피앤에프홀딩스,"17,209,176,000","842,922",커머스 | Commerce,"1,000,000","788,250","788,250",Tier 2
그루핑,"7,600,000,000","5,824",제조 & 유통 | Manufacturing & Distribution,"1,800,000",,"270,750",Tier 5
제이엠비즈,"5,200,000,000",-,전문 산업군 | Professional Services,"500,000","402,750","402,750",
원익엘앤디,"13,529,815,000","12,807",여행 & 숙박 | Travel & Hospitality,"1,200,000",,"1,148,250",Tier 4
에넥스,"261,776,147,000","136,287",커머스 | Commerce,"1,000,000","774,637","774,637",Tier 3
수면밀도,"41,000,000,000","25,799",커머스 | Commerce,"1,500,000","1,783,650","1,783,650",Tier 4
더조은관광,"11,200,000,000",-,여행 & 숙박 | Travel & Hospitality,"600,000","518,000","518,000",
우아성형외과,-,"16,177",헬스케어 | Healthcare,"1,000,000",,,
하이트진로,"2,497,550,000,000","42,307",제조 & 유통 | Manufacturing & Distribution,"2,000,000",,,Tier 3
킨도,"23,000,000,000","132,992",커머스 | Commerce,"600,000",,,Tier 2
