Company / Account,Lead ID,Annual Revenue,Vertical (New),MAU,연매출 구간,MAU 구간,2차 QC,티어 구분 (실시간 반영),Tier_클러스터링 기준,Tier (Vertical Quantile)
조광페인트,00Q2w00000iYqWU,"248,000,000,000",제조 & 유통 | Manufacturing & Distribution,"11,633",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
크리버코리아,00Q2w00000iYqWu,"52,200,000,000",제조 & 유통 | Manufacturing & Distribution,"11,633",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
앨엔바이오랩,00QTJ00000Gce6V,"15,200,000,000",제조 & 유통 | Manufacturing & Distribution,"11,622",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
핸들,00QTJ00000l8VOb,"150,000,000,000",기타 | Others,"11,592",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
가영세라믹스,00QIg0000025VN9,"72,863,156,000",제조 & 유통 | Manufacturing & Distribution,"11,554",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
투믹스,00QIg0000025Vn9,"68,484,405,000",기타 | Others,"11,554",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
더그림엔터테인먼트,00QIg0000025WKs,"15,636,821,000",제조 & 유통 | Manufacturing & Distribution,"11,530",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
부산우유,00QTJ00000fOKz2,"25,600,000,000",제조 & 유통 | Manufacturing & Distribution,"11,493",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
고진모터스,00QIg0000024jiT,"440,816,000,000",렌탈 & 모빌리티 | Rental & Mobility,"11,460",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
신성약품,00QIg0000024jit,"433,037,000,000",헬스케어 | Healthcare,"11,460",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
은광,00QIg0000024xug,"116,407,636,000",제조 & 유통 | Manufacturing & Distribution,"11,438",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
한솔일렉트로닉스,00QIg0000025Xtw,"23,561,372,000",커머스 | Commerce,"11,412",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
대일이노텍,00QIg0000024kOD,"149,527,000,000",제조 & 유통 | Manufacturing & Distribution,"11,378",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
케무어스코리아,00QIg0000024kOd,"140,194,000,000",제조 & 유통 | Manufacturing & Distribution,"11,378",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
페스툴코리아,00Q2w00000hGkk3,"11,400,000,000",B2B & 솔루션 | B2B & Solutions,"11,331",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
밝은눈21,00Q2w00000hE8ly,"27,900,000,000",헬스케어 | Healthcare,"11,325",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
태양금속,00QIg0000024jdx,"569,503,000,000",제조 & 유통 | Manufacturing & Distribution,"11,301",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
솔트록스,00Q2w00000hFuRE,"22,700,000,000",B2B & 솔루션 | B2B & Solutions,"11,202",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
디에스오토,00QIg0000025W6N,"26,685,915,000",렌탈 & 모빌리티 | Rental & Mobility,"11,154",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
